Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
43225180,Verity,Colleen Hoover,"Hoover, Colleen",,"=""1791392792""","=""9781791392796""",0,4.34,Independently published,Paperback,323,2018,2018,,2022/04/23,to-read,to-read (#92),to-read,,,,0,0
56732449,The Love Hypothesis,Ali Hazelwood,"Hazelwood, Ali",,"=""0593336828""","=""9780593336823""",4,4.18,Berkley Books,Paperback,383,2021,2021,,2022/02/12,,,read,,,,1,0
59562844,"Ignite (Cloverleigh Farms, #6)",Melanie Harlow,"Harlow, Melanie",,"=""""","=""""",2,4.11,,Kindle Edition,342,2021,2021,,2022/03/20,,,read,,,,1,0
38233153,"Sinner (Priest, #2)",Sierra Simone,"Simone, Sierra",,"=""""","=""""",0,4.00,,Kindle Edition,400,2018,2018,,2022/04/06,to-read,to-read (#91),to-read,,,,0,0
48847096,In the Unlikely Event,L.J. Shen,"Shen, L.J.",,"=""""","=""""",0,3.86,L.J. Shen,Kindle Edition,368,2019,2019,,2022/03/31,to-read,to-read (#90),to-read,,,,0,0
42731454,The Oysterville Sewing Circle,Susan Wiggs,"Wiggs, Susan",,"=""""","=""""",3,3.95,William Morrow,Kindle Edition,389,2019,2019,,2022/03/23,,,read,,,,1,0
48716015,"In Fury Lies Mischief (Midnight Mayhem, #2)",Amo Jones,"Jones, Amo",,"=""""","=""""",3,4.39,,Kindle Edition,359,2020,2020,,2022/03/16,,,read,,,,1,0
58353827,"Terms and Conditions  (Dreamland Billionaires, #2)",Lauren Asher,"Asher, Lauren",,"=""""","=""""",4,4.17,,Kindle Edition,435,2022,2022,,2022/03/16,,,read,,,,1,0
20324107,Destroyed,Pepper Winters,"Winters, Pepper",,"=""""","=""2940149218271""",2,4.08,,Nook,408,2014,2014,,2022/02/24,dnf,dnf (#2),read,,,,1,0
36604160,"Bad Habit (Bad Love, #1)",Charleigh Rose,"Rose, Charleigh",,"=""""","=""""",3,3.79,,Kindle Edition,348,2017,2017,,2021/04/22,,,read,,,,1,0
39809987,"Because You're Mine (Sins & Deceit, #1)",Claire Contreras,"Contreras, Claire",,"=""""","=""""",0,3.78,,Kindle Edition,262,2018,2018,,2022/02/19,to-read,to-read (#89),to-read,,,,0,0
26615962,"The Fire Between High & Lo (Elements, #2)",Brittainy C. Cherry,"Cherry, Brittainy C.",,"=""""","=""""",0,4.01,BCherry Books,Kindle Edition,324,2016,2016,,2022/02/11,to-read,to-read (#88),to-read,,,,0,0
40045986,The Last Letter,Rebecca Yarros,"Yarros, Rebecca",,"=""1640635335""","=""9781640635333""",3,4.42,Entangled: Amara,Paperback,426,2019,2019,,2022/02/07,dnf,dnf (#1),read,,,,1,0
15745950,"Walking Disaster (Beautiful, #2)",Jamie McGuire,"McGuire, Jamie",,"=""1476712980""","=""9781476712987""",0,4.16,Atria Books,Paperback,448,2013,2013,,2022/02/06,to-read,to-read (#87),to-read,,,,0,0
34851664,"The Chase (Briar U, #1)",Elle Kennedy,"Kennedy, Elle",,"=""0994054459""","=""9780994054456""",4,3.88,Elle Kennedy Inc.,ebook,368,2018,2018,,2022/02/06,,,read,,,,1,0
18138948,Stinger,Mia Sheridan,"Sheridan, Mia",,"=""""","=""""",0,4.11,,Kindle Edition,398,2014,2013,,2022/02/03,to-read,to-read (#86),to-read,,,,0,0
13572249,"Bared to You (Crossfire, #1)",Sylvia Day,"Day, Sylvia",,"=""0425263908""","=""9780425263907""",0,4.15,Berkley,Paperback,338,2012,2012,,2022/02/03,to-read,to-read (#85),to-read,,,,0,0
11422,Redeeming Love,Francine Rivers,"Rivers, Francine",,"=""""","=""""",0,4.51,Multnomah,Paperback,479,2007,1991,,2022/01/23,to-read,to-read (#84),to-read,,,,0,0
26827731,"Lev (Shot Callers, #1)",Belle Aurora,"Aurora, Belle",,"=""""","=""9780994371010""",4,4.11,Belle Aurora,ebook,370,2015,2015,,2022/01/14,,,read,,,,1,0
35996274,"Begin Again (Again, #1)",Mona Kasten,"Kasten, Mona",Toby Axelrod,"=""""","=""""",3,4.07,Bastei Entertainment,Kindle Edition,278,2017,2016,,2022/01/06,,,read,,,,1,0
36373564,"The Simple Wild (Wild, #1)",K.A. Tucker,"Tucker, K.A.",,"=""1501133438""","=""9781501133435""",0,4.32,Atria Books,Paperback,400,2018,2018,,2022/01/09,to-read,to-read (#83),to-read,,,,0,0
51661616,"Bound by Duty (Born in Blood Mafia Chronicles, #2)",Cora Reilly,"Reilly, Cora",,"=""""","=""""",0,3.83,,Kindle Edition,267,2015,2015,,2022/01/09,to-read,to-read (#82),to-read,,,,0,0
28678119,"Paper Princess (The Royals, #1)",Erin Watt,"Watt, Erin","Elle Kennedy, Jen Frederick","=""""","=""""",0,3.94,Timeout LLC,Kindle Edition,370,2016,2016,,2022/01/01,to-read,to-read (#81),to-read,,,,0,0
17617277,"Real (Real, #1)",Katy Evans,"Evans, Katy",,"=""1301347949""","=""9781301347940""",0,4.13,Smashwords,ebook,293,2013,2013,,2021/12/31,to-read,to-read (#80),to-read,,,,0,0
25797013,The Paper Swan,Leylah Attar,"Attar, Leylah",,"=""""","=""""",5,4.14,,Kindle Edition,390,2015,2015,,2021/12/30,,,read,,,,1,0
30073199,"Tru Blue (The Whiskeys: Dark Knights at Peaceful Harbor, #1)",Melissa Foster,"Foster, Melissa",,"=""""","=""""",4,4.05,World Literary Press,Kindle Edition,300,2016,2016,,2021/12/26,,,read,,,,1,0
40597810,Daisy Jones & The Six,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""1524798622""","=""9781524798628""",0,4.22,Ballantine Books,Hardcover,355,2019,2019,,2021/12/26,to-read,to-read (#79),to-read,,,,0,0
23253863,"Nine Minutes (Nine Minutes, #1)",Beth Flynn,"Flynn, Beth",,"=""1500473634""","=""9781500473631""",0,4.36,CreateSpace Independent Publishing Platform,Paperback,317,2014,2014,,2021/12/26,to-read,to-read (#78),to-read,,,,0,0
25908870,"Kick, Push (Kick Push, #1)",Jay McLean,"McLean, Jay",,"=""""","=""""",0,4.23,,Kindle Edition,441,2015,2015,,2021/12/26,to-read,to-read (#77),to-read,,,,0,0
5107,The Catcher in the Rye,J.D. Salinger,"Salinger, J.D.",,"=""0316769177""","=""9780316769174""",0,3.80,Back Bay Books,Paperback,234,2001,1951,,2021/12/26,to-read,to-read (#76),to-read,,,,0,0
19063,The Book Thief,Markus Zusak,"Zusak, Markus",,"=""""","=""""",0,4.39,Alfred A. Knopf,Hardcover,592,2006,2005,,2021/12/26,to-read,to-read (#75),to-read,,,,0,0
29453961,"Sidebarred (The Legal Briefs, #3.5)",Emma Chase,"Chase, Emma",,"=""""","=""""",5,4.41,,ebook,101,2016,2016,,2021/12/26,,,read,,,,1,0
22926485,"Sustained (The Legal Briefs, #2)",Emma Chase,"Chase, Emma",,"=""1501102079""","=""9781501102073""",5,4.25,Gallery Books ,Paperback,267,2015,2015,,2021/12/23,,,read,,,,1,0
36319266,Forever Right Now: A Single Dad Romance,Emma   Scott,"Scott, Emma",,"=""""","=""""",5,4.22,Amazon Digital Services,Kindle Edition,285,2017,2017,,2021/12/21,,,read,,,,1,0
43641,Water for Elephants,Sara Gruen,"Gruen, Sara",,"=""1565125606""","=""9781565125605""",0,4.10,Algonquin Books,Paperback,368,2007,2006,,2021/12/21,to-read,to-read (#74),to-read,,,,0,0
43124137,The Beekeeper of Aleppo,Christy Lefteri,"Lefteri, Christy",,"=""1984821210""","=""9781984821218""",0,4.17,Ballantine Books,Hardcover,317,2019,2019,,2021/12/21,to-read,to-read (#73),to-read,,,,0,0
13517535,"Thoughtless (Thoughtless, #1)",S.C. Stephens,"Stephens, S.C.",,"=""146109111X""","=""9781461091110""",0,4.09,CreateSpace,Paperback,530,2011,2012,,2021/12/20,to-read,to-read (#72),to-read,,,,0,0
11709423,"Effortless (Thoughtless, #2)",S.C. Stephens,"Stephens, S.C.",,"=""""","=""""",0,4.35,S.C. Stephens,ebook,554,2011,2011,,2021/12/20,to-read,to-read (#71),to-read,,,,0,0
17448960,"Falling into You (Falling, #1)",Jasinda Wilder,"Wilder, Jasinda",,"=""""","=""2940016356938""",3,4.02,Jasinda Wilder,Nook,240,2013,2013,,2021/12/19,,,read,,,,1,0
45694898,Marriage for One,Ella Maise,"Maise, Ella",,"=""""","=""""",4,3.89,Ella Maise,Kindle Edition,520,2019,2019,,2021/12/19,,,read,,,,1,0
33288638,Wait for It,Mariana Zapata,"Zapata, Mariana",,"=""""","=""""",5,4.30,Amazon Digital Services LLC,Kindle Edition,418,2016,2016,,2021/04/03,,,read,,,,1,0
18781543,"Until Nico (Until, #4)",Aurora Rose Reynolds,"Reynolds, Aurora Rose",,"=""""","=""""",2,4.29,Aurora Rose Reynolds,,238,2014,2014,,2021/09/26,,,read,,,,1,0
23834721,"Ryker (Cold Fury Hockey, #4)",Sawyer Bennett,"Bennett, Sawyer",,"=""1101886781""","=""9781101886786""",5,4.22,Loveswept,ebook,269,2015,2015,,2021/08/28,,,read,,,,1,0
43427544,When August Ends,Penelope Ward,"Ward, Penelope",,"=""""","=""""",0,3.98,"Penelope Ward Books, Inc.",Audible Audio,7,2019,2019,,2021/12/05,to-read,to-read (#70),to-read,,,,0,0
27860802,The Protector,Jodi Ellen Malpas,"Malpas, Jodi Ellen",,"=""""","=""""",0,3.82,Forever,Kindle Edition,384,2016,2016,,2021/12/05,to-read,to-read (#69),to-read,,,,0,0
32956365,The Light We Lost,Jill Santopolo,"Santopolo, Jill",,"=""0735212759""","=""9780735212756""",0,3.86,G.P. Putnam's Sons,Hardcover,328,2017,2017,,2021/12/05,to-read,to-read (#68),to-read,,,,0,0
54189398,"The Spanish Love Deception (Spanish Love Deception, #1)",Elena  Armas,"Armas, Elena",,"=""1668002531""","=""9781668002537""",4,3.86,Elena Armas,ebook,487,2021,2021,,2021/07/12,,,read,,,,1,0
40222694,"Mr. Masters (Mr. Series, #1)",T.L. Swan,"Swan, T.L.",,"=""""","=""""",2,4.22,T L Swan,Kindle Edition,445,2018,2018,,2021/08/03,,,read,,,,1,0
39880512,The Hardest Fall,Ella Maise,"Maise, Ella",,"=""""","=""""",0,3.98,Ella Maise,Kindle Edition,429,2018,2018,,2021/11/15,to-read,to-read (#67),to-read,,,,0,0
